"audit_log_id` bigint NOT NULL","channel_id` bigint NOT NULL","entity_type` varchar(32) NOT NULL","entity_id` bigint NOT NULL","event_type` varchar(100) NOT NULL","table_name` varchar(100)","table_id` bigint","payload_json` text","created_ymdhis` bigint NOT NULL DEFAULT 0","updated_ymdhis` bigint NOT NULL","is_deleted` tinyint NOT NULL DEFAULT 0","deleted_ymdhis` bigint"
173,0,actor,10001,"Started Monitoring Traffic",,,"{""sessionid"": ""a179b5cd6123f1d2c10b9eb9722ea438"", ""totaltime"": 0}",20251120004519,20251120004519,0,
174,0,actor,10001,Logout,,,"{""sessionid"": ""26d3d21dadd00e1fe9448b2f179a5b7b"", ""totaltime"": 2508}",20251120012538,20251120012538,0,
175,0,actor,10001,"Stopped Monitoring Traffic",,,"{""sessionid"": ""a179b5cd6123f1d2c10b9eb9722ea438"", ""totaltime"": 0}",20251120004519,20251120004519,0,
176,0,actor,10001,login,,,"{""sessionid"": ""a179b5cd6123f1d2c10b9eb9722ea438"", ""totaltime"": 0}",20251120022900,20251120022900,0,
177,0,actor,10001,Logout,,,"{""sessionid"": ""e35609c6379b1d7d2bfbeb92941d6de8"", ""totaltime"": 2501}",20251120031041,20251120031041,0,
178,0,actor,10001,login,,,"{""sessionid"": ""6de8735d48ba7027ed51a215e5456096"", ""totaltime"": 0}",20251120135214,20251120135214,0,
179,0,actor,10001,Logout,,,"{""sessionid"": ""6de8735d48ba7027ed51a215e5456096"", ""totaltime"": 73}",20251120135327,20251120135327,0,
180,0,actor,10001,login,,,"{""sessionid"": ""6de8735d48ba7027ed51a215e5456096"", ""totaltime"": 0}",20251120222612,20251120222612,0,
181,0,actor,10001,Logout,,,"{""sessionid"": ""be93c0e997f2dc1978fe8715aa965c90"", ""totaltime"": 4564}",20251120234216,20251120234216,0,
182,0,actor,10001,login,,,"{""sessionid"": ""848439a2da9833790d850941618fd314"", ""totaltime"": 0}",20251121000218,20251121000218,0,
183,0,actor,10001,"Started Monitoring Traffic",,,"{""sessionid"": ""848439a2da9833790d850941618fd314"", ""totaltime"": 0}",20251121022318,20251121022318,0,
184,36,actor,10001,startchat,,,"{""sessionid"": """", ""totaltime"": 0}",20251121023614,20251121023614,0,
185,0,actor,10001,"Stopped Monitoring Traffic",,,"{""sessionid"": ""848439a2da9833790d850941618fd314"", ""totaltime"": 978}",20251121023936,20251121023936,0,
186,0,actor,10001,login,,,"{""sessionid"": ""6de8735d48ba7027ed51a215e5456096"", ""totaltime"": 0}",20251121024521,20251121024521,0,
187,0,actor,10001,Logout,,,"{""sessionid"": ""2ed6982233311ee1dd90056ad78dabae"", ""totaltime"": 7068}",20251121044309,20251121044309,0,
188,0,actor,10001,login,,,"{""sessionid"": ""1375d77fc146f89706537cf6973a1ff0"", ""totaltime"": 0}",20251121165714,20251121165714,0,
189,0,actor,10001,Logout,,,"{""sessionid"": ""747fe6bb55e55d2649551a42bc202289"", ""totaltime"": 15107}",20251121210901,20251121210901,0,
190,0,actor,10001,login,,,"{""sessionid"": ""1375d77fc146f89706537cf6973a1ff0"", ""totaltime"": 0}",20251121222921,20251121222921,0,
191,0,actor,10001,Logout,,,"{""sessionid"": ""747fe6bb55e55d2649551a42bc202289"", ""totaltime"": 2418}",20251121230939,20251121230939,0,
192,0,actor,10001,login,,,"{""sessionid"": ""1375d77fc146f89706537cf6973a1ff0"", ""totaltime"": 0}",20251121230943,20251121230943,0,
193,0,actor,10001,Logout,,,"{""sessionid"": ""747fe6bb55e55d2649551a42bc202289"", ""totaltime"": 6656}",20251122010039,20251122010039,0,
194,0,actor,10001,login,,,"{""sessionid"": ""1375d77fc146f89706537cf6973a1ff0"", ""totaltime"": 0}",20251122013243,20251122013243,0,
195,0,actor,10001,Logout,,,"{""sessionid"": ""4856f6ab03874c05d38dfa97d0eede8d"", ""totaltime"": 1549}",20251122015832,20251122015832,0,
196,0,actor,10001,login,,,"{""sessionid"": ""acea8a2e498322641f0b0b84f9783d9e"", ""totaltime"": 0}",20251123111315,20251123111315,0,
197,0,actor,10001,Logout,,,"{""sessionid"": ""e84a1527b4d21c26b4819e8baf584abd"", ""totaltime"": 2104}",20251123114819,20251123114819,0,
198,0,actor,10001,login,,,"{""sessionid"": ""c5e1a4a2c9b93328c13f97493e4815dd"", ""totaltime"": 0}",20251124185832,20251124185832,0,
199,0,actor,10001,Logout,,,"{""sessionid"": ""451ac82fca8129d3387e6c7b27ff4875"", ""totaltime"": 2224}",20251124193536,20251124193536,0,
200,0,actor,10001,login,,,"{""sessionid"": ""22be857517ac18989bf464332aaee26e"", ""totaltime"": 0}",20251126000845,20251126000845,0,
201,0,actor,10001,Logout,,,"{""sessionid"": ""621dbdd4d1d905533510ad7af8306ab8"", ""totaltime"": 17551}",20251126050116,20251126050116,0,
202,0,actor,10001,login,,,"{""sessionid"": ""95f25efad9ae7db38dfd078c7a1053c7"", ""totaltime"": 0}",20251127061010,20251127061010,0,
203,0,actor,10001,Logout,,,"{""sessionid"": ""8809b8b15f5d80b4907abafd52d022d3"", ""totaltime"": 1566}",20251127063616,20251127063616,0,
204,0,actor,10001,login,,,"{""sessionid"": ""629bfd046f01bd81a86c83f526c175bc"", ""totaltime"": 0}",20251130015452,20251130015452,0,
205,0,actor,10001,Logout,,,"{""sessionid"": ""06961af810bb678edc092ce4572cc069"", ""totaltime"": 2640}",20251130023852,20251130023852,0,
206,0,actor,10001,login,,,"{""sessionid"": ""394a7ec783f95ec599d5c79572d79168"", ""totaltime"": 0}",20251203231339,20251203231339,0,
207,0,actor,10001,Logout,,,"{""sessionid"": ""1eb92081903ff533d915aaf223ee5d31"", ""totaltime"": 1791}",20251203234330,20251203234330,0,
208,0,actor,10001,login,,,"{""sessionid"": ""58df6e2a584d716fcb240554162d49d2"", ""totaltime"": 0}",20251205013153,20251205013153,0,
209,0,actor,10001,Logout,,,"{""sessionid"": ""74d96030398d7a88eccd65e9b9624b8c"", ""totaltime"": 3438}",20251205022911,20251205022911,0,
210,0,actor,10001,login,,,"{""sessionid"": ""af864e4ffa106260c3242c8f9dae4f09"", ""totaltime"": 0}",20251205153823,20251205153823,0,
211,0,actor,10001,Logout,,,"{""sessionid"": ""c9b0c3cae4aec55599c6fdcbde4bb924"", ""totaltime"": 1673}",20251205160616,20251205160616,0,
212,0,actor,10001,login,,,"{""sessionid"": ""af864e4ffa106260c3242c8f9dae4f09"", ""totaltime"": 0}",20251205221717,20251205221717,0,
213,0,actor,10001,Logout,,,"{""sessionid"": ""af864e4ffa106260c3242c8f9dae4f09"", ""totaltime"": 55}",20251205221812,20251205221812,0,
214,0,actor,10001,login,,,"{""sessionid"": ""419592a3e641b39c710ac0c991340f34"", ""totaltime"": 0}",20251206122731,20251206122731,0,
215,0,actor,10001,Logout,,,"{""sessionid"": ""bbf57f397c11f14b6476d6b7f7876745"", ""totaltime"": 1699}",20251206125550,20251206125550,0,
216,0,actor,10001,login,,,"{""sessionid"": ""419592a3e641b39c710ac0c991340f34"", ""totaltime"": 0}",20251206145202,20251206145202,0,
217,0,actor,10001,Logout,,,"{""sessionid"": ""bbf57f397c11f14b6476d6b7f7876745"", ""totaltime"": 2060}",20251206152622,20251206152622,0,
218,0,actor,10001,login,,,"{""sessionid"": ""2732e2f6dcbe76910bfe3d06cf903ece"", ""totaltime"": 0}",20251206155021,20251206155021,0,
219,0,actor,10001,Logout,,,"{""sessionid"": ""686f7fd7ca9204e6eb0c3a9ffe591197"", ""totaltime"": 2072}",20251206162453,20251206162453,0,
220,0,actor,10001,login,,,"{""sessionid"": ""cbf52d00678af82d85ee85a19efa1cd9"", ""totaltime"": 0}",20251207025318,20251207025318,0,
221,0,actor,10001,Logout,,,"{""sessionid"": ""e28e08517dd7ac8091badeebadaa5132"", ""totaltime"": 10772}",20251207055250,20251207055250,0,
222,0,actor,10001,login,,,"{""sessionid"": ""a61f4f909020a7c326a995e1c71f43ee"", ""totaltime"": 0}",20251207143805,20251207143805,0,
223,0,actor,10001,Logout,,,"{""sessionid"": ""e9dc6c3184d0787b6f47bdd8024b22fb"", ""totaltime"": 2520}",20251207152005,20251207152005,0,
224,0,actor,10001,login,,,"{""sessionid"": ""3d3c844b92790c6b3b9d4fa769768592"", ""totaltime"": 0}",20251208003843,20251208003843,0,
225,0,actor,10001,"Started Monitoring Traffic",,,"{""sessionid"": ""3d3c844b92790c6b3b9d4fa769768592"", ""totaltime"": 0}",20251208004019,20251208004019,0,
226,0,actor,10001,Logout,,,"{""sessionid"": ""42faf2722fbfa60e29a4ca0b5619241e"", ""totaltime"": 8259}",20251208025622,20251208025622,0,
227,0,actor,10001,"Stopped Monitoring Traffic",,,"{""sessionid"": ""3d3c844b92790c6b3b9d4fa769768592"", ""totaltime"": 1931}",20251208011230,20251208011230,0,
228,0,actor,10001,login,,,"{""sessionid"": ""31480fa1367dc768448a47d3d56617f0"", ""totaltime"": 0}",20251208112814,20251208112814,0,
229,0,actor,10001,Logout,,,"{""sessionid"": ""b8f6056d25d9a3dcc62f650564af2cdc"", ""totaltime"": 4005}",20251208123459,20251208123459,0,
230,0,actor,10001,login,,,"{""sessionid"": ""46a14957a767e6835cdef94fd6565b61"", ""totaltime"": 0}",20251209195824,20251209195824,0,
231,0,actor,10001,Logout,,,"{""sessionid"": ""3ecb70c47df558dea19effc29ff08770"", ""totaltime"": 2541}",20251209204045,20251209204045,0,
232,0,actor,10001,login,,,"{""sessionid"": ""c1ccf071b0c0cc5d55a93818abf015d1"", ""totaltime"": 0}",20251212015530,20251212015530,0,
233,0,actor,10001,Logout,,,"{""sessionid"": ""81eac8345f325360368d66f6dfe8f39a"", ""totaltime"": 1723}",20251212022413,20251212022413,0,
234,0,actor,10001,login,,,"{""sessionid"": ""1e882c815264658b132cc0acf6130e02"", ""totaltime"": 0}",20251212230547,20251212230547,0,
235,0,actor,10001,Logout,,,"{""sessionid"": ""43f52e4228e17f7bf0b9a1622ed820f1"", ""totaltime"": 1869}",20251212233656,20251212233656,0,
236,0,actor,10001,login,,,"{""sessionid"": ""f6516eee2c8f31ce7f5ad113b28b5f33"", ""totaltime"": 0}",20251213021809,20251213021809,0,
237,0,actor,10001,Logout,,,"{""sessionid"": ""3e46f1841b36a4331c69733a00fc867a"", ""totaltime"": 13658}",20251213060547,20251213060547,0,
238,0,actor,10001,login,,,"{""sessionid"": ""13cacd4e885ae2cb871399ca2288a901"", ""totaltime"": 0}",20251213110944,20251213110944,0,
239,0,actor,10001,"Started Monitoring Traffic",,,"{""sessionid"": ""13cacd4e885ae2cb871399ca2288a901"", ""totaltime"": 0}",20251213113327,20251213113327,0,
240,0,actor,10001,"Stopped Monitoring Traffic",,,"{""sessionid"": ""13cacd4e885ae2cb871399ca2288a901"", ""totaltime"": 103}",20251213113510,20251213113510,0,
241,0,actor,10001,Logout,,,"{""sessionid"": ""2cb0b9fbdbf69a92a68a5012729a8bcf"", ""totaltime"": 4326}",20251213122150,20251213122150,0,
242,0,actor,10001,login,,,"{""sessionid"": ""13cacd4e885ae2cb871399ca2288a901"", ""totaltime"": 0}",20251213130947,20251213130947,0,
243,0,actor,10001,Logout,,,"{""sessionid"": ""b720c852e6c30b7519187946d1864e5b"", ""totaltime"": 1771}",20251213133918,20251213133918,0,
244,0,actor,10001,login,,,"{""sessionid"": ""5279df5829bb3e68a1015ae4fc885fd3"", ""totaltime"": 0}",20251213191949,20251213191949,0,
245,0,actor,10001,Logout,,,"{""sessionid"": ""cf6b5eaa3b0158c3d6961a113d736c68"", ""totaltime"": 5801}",20251213205630,20251213205630,0,
246,0,actor,10001,login,,,"{""sessionid"": ""f3f043dd6e108241edbc4c669ea712cd"", ""totaltime"": 0}",20251213224452,20251213224452,0,
247,0,actor,10001,Logout,,,"{""sessionid"": ""cf9157152e416855dfc782128acdf034"", ""totaltime"": 1942}",20251213231714,20251213231714,0,
248,0,actor,10001,login,,,"{""sessionid"": ""30bb058c5b21ccec45b7b3af9d4dc1b2"", ""totaltime"": 0}",20251214180756,20251214180756,0,
249,0,actor,10001,Logout,,,"{""sessionid"": ""62971d8d21f0d03154288c9d84c97fd2"", ""totaltime"": 2863}",20251214185539,20251214185539,0,
250,0,actor,10001,login,,,"{""sessionid"": ""040f513f1aa56d73006f9f1b23589a28"", ""totaltime"": 0}",20251215170253,20251215170253,0,
251,0,actor,10001,Logout,,,"{""sessionid"": ""686f7fd7ca9204e6eb0c3a9ffe591197"", ""totaltime"": 4303}",20251215181436,20251215181436,0,
252,0,actor,10001,login,,,"{""sessionid"": ""514b713c14f1ad89a1685844f7e2d3b6"", ""totaltime"": 0}",20251216035859,20251216035859,0,
253,0,actor,10001,Logout,,,"{""sessionid"": ""ea095839949ba8866a9a7b19e118ce0d"", ""totaltime"": 3011}",20251216044910,20251216044910,0,
254,0,actor,10001,login,,,"{""sessionid"": ""7fef8bda17c45f2f7ecc202b3c3e67af"", ""totaltime"": 0}",20251216121834,20251216121834,0,
255,0,actor,10001,Logout,,,"{""sessionid"": ""1866695fe225e69dabd0d7987cbee34e"", ""totaltime"": 3114}",20251216131028,20251216131028,0,
256,0,actor,10001,login,,,"{""sessionid"": ""5e4f7c6a6de6e9f7541ffcdbd2c890fb"", ""totaltime"": 0}",20251216161701,20251216161701,0,
257,0,actor,10001,"Started Monitoring Traffic",,,"{""sessionid"": ""5e4f7c6a6de6e9f7541ffcdbd2c890fb"", ""totaltime"": 0}",20251216161939,20251216161939,0,
258,0,actor,10001,"Stopped Monitoring Traffic",,,"{""sessionid"": ""5e4f7c6a6de6e9f7541ffcdbd2c890fb"", ""totaltime"": 100}",20251216162119,20251216162119,0,
259,0,actor,10001,Logout,,,"{""sessionid"": ""5e4f7c6a6de6e9f7541ffcdbd2c890fb"", ""totaltime"": 648}",20251216162749,20251216162749,0,
260,0,actor,10001,login,,,"{""sessionid"": ""d673fc870bedd5968d87f1bb36880ce9"", ""totaltime"": 0}",20251217021420,20251217021420,0,
261,0,actor,10001,Logout,,,"{""sessionid"": ""8d669fdbb355fd713af985eb8df1c6a2"", ""totaltime"": 1837}",20251217024457,20251217024457,0,
262,0,actor,10001,login,,,"{""sessionid"": ""11c6797a3a8edb22710364a922b0a7f6"", ""totaltime"": 0}",20251217195025,20251217195025,0,
263,0,actor,10001,Logout,,,"{""sessionid"": ""121da3e85547e21c4fffe33754c5b87b"", ""totaltime"": 2119}",20251217202544,20251217202544,0,
264,0,actor,10001,login,,,"{""sessionid"": ""d65e1405e0a7e3c4dcdb28c401976a30"", ""totaltime"": 0}",20251218000838,20251218000838,0,
265,0,actor,10001,Logout,,,"{""sessionid"": ""981c4d26cb3658046d7be0ba7c666cb6"", ""totaltime"": 4427}",20251218012225,20251218012225,0,
266,0,actor,10001,login,,,"{""sessionid"": ""4aebe8e4e627e93c5e2544a281f13760"", ""totaltime"": 0}",20251218183710,20251218183710,0,
267,0,actor,10001,Logout,,,"{""sessionid"": ""9a2b8002410c1423fbeac131c2464310"", ""totaltime"": 2175}",20251218191325,20251218191325,0,
268,0,actor,10001,login,,,"{""sessionid"": ""abcf8931e63543e10aee3e74c424b8cf"", ""totaltime"": 0}",20251220015427,20251220015427,0,
269,0,actor,10001,Logout,,,"{""sessionid"": ""abcf8931e63543e10aee3e74c424b8cf"", ""totaltime"": 48}",20251220015515,20251220015515,0,
270,0,actor,10001,login,,,"{""sessionid"": ""6c3ea81a2a1cdbfc10cc02a987505016"", ""totaltime"": 0}",20251220163434,20251220163434,0,
271,0,actor,10001,Logout,,,"{""sessionid"": ""2d6f28128016f07e3d09cc08335b6ebe"", ""totaltime"": 3481}",20251220173235,20251220173235,0,
272,0,actor,10001,login,,,"{""sessionid"": ""7167a349877aa7f2271b34d58eee8b79"", ""totaltime"": 0}",20251221030733,20251221030733,0,
273,0,actor,10001,Logout,,,"{""sessionid"": ""f628fa3c040d9c89bf8bfc783393848e"", ""totaltime"": 2299}",20251221034552,20251221034552,0,
274,0,actor,10001,login,,,"{""sessionid"": ""1152249f28be0450417deedd145d9c74"", ""totaltime"": 0}",20251222171942,20251222171942,0,
275,0,actor,10001,Logout,,,"{""sessionid"": ""468449cd5867fc1fc4af2c748741dda8"", ""totaltime"": 2406}",20251222175948,20251222175948,0,
276,0,actor,10001,login,,,"{""sessionid"": ""53b58b6e8a2169838f5065f9d6b69a95"", ""totaltime"": 0}",20251225165750,20251225165750,0,
277,0,actor,10001,Logout,,,"{""sessionid"": ""53b58b6e8a2169838f5065f9d6b69a95"", ""totaltime"": 524}",20251225170634,20251225170634,0,
278,0,actor,10001,login,,,"{""sessionid"": ""53b58b6e8a2169838f5065f9d6b69a95"", ""totaltime"": 0}",20251226014453,20251226014453,0,
279,0,actor,10001,Logout,,,"{""sessionid"": ""1143073b1d99c1603c8ba2dbc636f19e"", ""totaltime"": 2836}",20251226023209,20251226023209,0,
280,0,actor,10001,login,,,"{""sessionid"": ""57c1ce10a24ffa49ab89c4d7d2a49c78"", ""totaltime"": 0}",20251227015357,20251227015357,0,
281,0,actor,10001,Logout,,,"{""sessionid"": ""9ab19d14862ae5cca06fff5b84b5037b"", ""totaltime"": 2270}",20251227023147,20251227023147,0,
282,0,actor,10001,login,,,"{""sessionid"": ""5e8b0f60739084654d97902855e92ba9"", ""totaltime"": 0}",20251227190524,20251227190524,0,
283,0,actor,10001,Logout,,,"{""sessionid"": ""be29081edf2ec760cdfe2dc38f181dd6"", ""totaltime"": 11067}",20251227220951,20251227220951,0,
284,0,actor,10001,login,,,"{""sessionid"": ""5e8b0f60739084654d97902855e92ba9"", ""totaltime"": 0}",20251227230838,20251227230838,0,
285,0,actor,10001,Logout,,,"{""sessionid"": ""d1749e8d26e93798d4f084760e72afa6"", ""totaltime"": 2463}",20251227234941,20251227234941,0,
286,0,actor,10001,login,,,"{""sessionid"": ""8d0dec0f437d388bcb3f11cbe125d1a1"", ""totaltime"": 0}",20251228004319,20251228004319,0,
287,0,actor,10001,"Started Monitoring Traffic",,,"{""sessionid"": ""8d0dec0f437d388bcb3f11cbe125d1a1"", ""totaltime"": 0}",20251228004324,20251228004324,0,
288,42,actor,10001,startchat,,,"{""sessionid"": """", ""totaltime"": 0}",20251228004357,20251228004357,0,
289,0,actor,10001,Stopchat,lupo_dialog_threads,7,"{""sessionid"": """", ""totaltime"": 0}",20251228004422,20251228004422,0,
290,0,actor,10001,"Stopped Monitoring Traffic",,,"{""sessionid"": ""8d0dec0f437d388bcb3f11cbe125d1a1"", ""totaltime"": 200}",20251228004644,20251228004644,0,
291,0,actor,10001,Logout,,,"{""sessionid"": ""d1749e8d26e93798d4f084760e72afa6"", ""totaltime"": 2002}",20251228011641,20251228011641,0,
292,0,actor,10001,login,,,"{""sessionid"": ""e1ecaeefe6e72aaf95b100486195ef01"", ""totaltime"": 0}",20251228161253,20251228161253,0,
293,0,actor,10001,Logout,,,"{""sessionid"": ""e1ecaeefe6e72aaf95b100486195ef01"", ""totaltime"": 121}",20251228161454,20251228161454,0,
294,0,actor,10001,login,,,"{""sessionid"": ""e1ecaeefe6e72aaf95b100486195ef01"", ""totaltime"": 0}",20251228200834,20251228200834,0,
295,0,actor,10001,Logout,,,"{""sessionid"": ""7697d7c62943a20eba7418000cfed6bc"", ""totaltime"": 9589}",20251228224823,20251228224823,0,
296,0,actor,10001,login,,,"{""sessionid"": ""e1ecaeefe6e72aaf95b100486195ef01"", ""totaltime"": 0}",20251229034103,20251229034103,0,
297,0,actor,10001,Logout,,,"{""sessionid"": ""e1ecaeefe6e72aaf95b100486195ef01"", ""totaltime"": 96}",20251229034239,20251229034239,0,
298,0,actor,10001,login,,,"{""sessionid"": ""e1ecaeefe6e72aaf95b100486195ef01"", ""totaltime"": 0}",20251229053047,20251229053047,0,
299,0,actor,10001,Logout,,,"{""sessionid"": ""697166146bbd2c9b69f6a6ac8ee4ee19"", ""totaltime"": 2849}",20251229061816,20251229061816,0,
300,0,actor,10001,login,,,"{""sessionid"": ""e1ecaeefe6e72aaf95b100486195ef01"", ""totaltime"": 0}",20251229062523,20251229062523,0,
301,0,actor,10001,"Started Monitoring Traffic",,,"{""sessionid"": ""e1ecaeefe6e72aaf95b100486195ef01"", ""totaltime"": 0}",20251229062642,20251229062642,0,
302,0,actor,10001,"Stopped Monitoring Traffic",,,"{""sessionid"": ""e1ecaeefe6e72aaf95b100486195ef01"", ""totaltime"": 0}",20251229062642,20251229062642,0,
303,0,actor,10001,Logout,,,"{""sessionid"": ""4ba6e4c6d8f18eddedec96f1392332bd"", ""totaltime"": 20435}",20251229120558,20251229120558,0,
304,0,actor,10001,login,,,"{""sessionid"": ""3657c05cca4e674c6571dcabf4bb8df7"", ""totaltime"": 0}",20251229191452,20251229191452,0,
305,0,actor,10001,Logout,,,"{""sessionid"": ""e239bbfc246ef56e24f70afcb721f67a"", ""totaltime"": 2586}",20251229195758,20251229195758,0,
306,0,actor,10001,login,,,"{""sessionid"": ""3657c05cca4e674c6571dcabf4bb8df7"", ""totaltime"": 0}",20251230001104,20251230001104,0,
307,0,actor,10001,"Started Monitoring Traffic",,,"{""sessionid"": ""3657c05cca4e674c6571dcabf4bb8df7"", ""totaltime"": 0}",20251230001339,20251230001339,0,
308,0,actor,10001,Logout,,,"{""sessionid"": ""7350df19d8d60abcf59792ffe4fbe549"", ""totaltime"": 9258}",20251230024522,20251230024522,0,
309,0,actor,10001,"Stopped Monitoring Traffic",,,"{""sessionid"": ""3657c05cca4e674c6571dcabf4bb8df7"", ""totaltime"": 0}",20251230001339,20251230001339,0,
310,0,actor,10001,login,,,"{""sessionid"": ""98deac614a513d9b9967ec31f7078dac"", ""totaltime"": 0}",20251230233117,20251230233117,0,
311,0,actor,10001,Logout,,,"{""sessionid"": ""98deac614a513d9b9967ec31f7078dac"", ""totaltime"": 1913}",20251231000310,20251231000310,0,
312,0,actor,10001,login,,,"{""sessionid"": ""64318b9c843e6ec262b4ba456f918fa9"", ""totaltime"": 0}",20260101115941,20260101115941,0,
313,0,actor,10001,Logout,,,"{""sessionid"": ""64318b9c843e6ec262b4ba456f918fa9"", ""totaltime"": 244}",20260101120345,20260101120345,0,
314,0,actor,10001,login,,,"{""sessionid"": ""0f0da37be7cd58687af0ecd78445b011"", ""totaltime"": 0}",20260103144904,20260103144904,0,
315,0,actor,10001,Logout,,,"{""sessionid"": ""d674e3297fac26ac21d39d90c51debbf"", ""totaltime"": 7061}",20260103164645,20260103164645,0,
316,0,actor,10001,login,,,"{""sessionid"": ""0f0da37be7cd58687af0ecd78445b011"", ""totaltime"": 0}",20260104011326,20260104011326,0,
317,0,actor,10001,Logout,,,"{""sessionid"": ""0f0da37be7cd58687af0ecd78445b011"", ""totaltime"": 61}",20260104011427,20260104011427,0,
318,0,actor,10001,login,,,"{""sessionid"": ""60577b7fece11bc32ec4cbb15b46dd44"", ""totaltime"": 0}",20260106064256,20260106064256,0,
319,0,actor,10001,Logout,,,"{""sessionid"": ""60577b7fece11bc32ec4cbb15b46dd44"", ""totaltime"": 16}",20260106064312,20260106064312,0,
320,0,actor,10001,login,,,"{""sessionid"": ""ea0cb3efca9ce796610409882939663a"", ""totaltime"": 0}",20260106204447,20260106204447,0,
321,0,actor,10001,Logout,,,"{""sessionid"": ""8d3651f1447e472ecfa603ff1c3e3536"", ""totaltime"": 3732}",20260106214659,20260106214659,0,
322,0,actor,10001,login,,,"{""sessionid"": ""ea0cb3efca9ce796610409882939663a"", ""totaltime"": 0}",20260108002022,20260108002022,0,
323,0,actor,10001,Logout,,,"{""sessionid"": ""a365d8dbad91c5d9aa02e3afd4aece66"", ""totaltime"": 5538}",20260108015240,20260108015240,0,
324,0,actor,10001,login,,,"{""sessionid"": ""ea0cb3efca9ce796610409882939663a"", ""totaltime"": 0}",20260108023052,20260108023052,0,
325,0,actor,10001,Logout,,,"{""sessionid"": ""d5e4c424a69fffb521a3427a7851bf34"", ""totaltime"": 1671}",20260108025843,20260108025843,0,
326,0,actor,10001,login,,,"{""sessionid"": ""fce0e0592c7eac00b8f7b234ebe7aaab"", ""totaltime"": 0}",20260109160611,20260109160611,0,
327,0,actor,10001,Logout,,,"{""sessionid"": ""b0f23fa562e559395190920c7e62629f"", ""totaltime"": 5225}",20260109173316,20260109173316,0,
328,0,actor,10001,login,,,"{""sessionid"": ""fce0e0592c7eac00b8f7b234ebe7aaab"", ""totaltime"": 0}",20260111003501,20260111003501,0,
329,0,actor,10001,Logout,,,"{""sessionid"": ""70f74f59cad16a862ff90088b751a2b0"", ""totaltime"": 11111}",20260111034012,20260111034012,0,
330,0,actor,10001,login,,,"{""sessionid"": ""8943d68a969ac2490467ccb5a8604514"", ""totaltime"": 0}",20260111120916,20260111120916,0,
331,0,actor,10001,"Started Monitoring Traffic",,,"{""sessionid"": ""8943d68a969ac2490467ccb5a8604514"", ""totaltime"": 0}",20260111120921,20260111120921,0,
332,0,actor,10001,Logout,,,"{""sessionid"": ""9e381b8c42756794972fec0e3476346e"", ""totaltime"": 10287}",20260111150043,20260111150043,0,
333,0,actor,10001,"Stopped Monitoring Traffic",,,"{""sessionid"": ""8943d68a969ac2490467ccb5a8604514"", ""totaltime"": 0}",20260111120921,20260111120921,0,
334,0,actor,10001,login,,,"{""sessionid"": ""2c505c38d763f16f593d7f8534b6943c"", ""totaltime"": 0}",20260114201759,20260114201759,0,
335,0,actor,10001,Logout,,,"{""sessionid"": ""142f5fc20c9284c61f5c9ca285dc849c"", ""totaltime"": 2932}",20260114210651,20260114210651,0,
336,0,actor,10001,login,,,"{""sessionid"": ""ff2aa55ba458bf8ad85d48b0249cdfec"", ""totaltime"": 0}",20260121074853,20260121074853,0,
337,0,actor,10001,Logout,,,"{""sessionid"": ""ff2aa55ba458bf8ad85d48b0249cdfec"", ""totaltime"": 396}",20260121075529,20260121075529,0,
338,0,actor,10001,login,,,"{""sessionid"": ""f35e2e3dea168b8a8321e2f94b2a0d5d"", ""totaltime"": 0}",20260204163338,20260204163338,0,
339,0,actor,10001,"Started Monitoring Traffic",,,"{""sessionid"": ""f35e2e3dea168b8a8321e2f94b2a0d5d"", ""totaltime"": 0}",20260204163342,20260204163342,0,
340,0,actor,10001,"Stopped Monitoring Traffic",,,"{""sessionid"": ""f35e2e3dea168b8a8321e2f94b2a0d5d"", ""totaltime"": 3735}",20260204173557,20260204173557,0,
341,0,actor,10001,"Started Monitoring Traffic",,,"{""sessionid"": ""f35e2e3dea168b8a8321e2f94b2a0d5d"", ""totaltime"": 0}",20260204181847,20260204181847,0,
342,0,actor,10001,Logout,,,"{""sessionid"": ""5be60e7e8e1c017cc586d96a389a4092"", ""totaltime"": 20732}",20260204221910,20260204221910,0,
343,0,actor,10001,"Stopped Monitoring Traffic",,,"{""sessionid"": ""f35e2e3dea168b8a8321e2f94b2a0d5d"", ""totaltime"": 3827}",20260204192234,20260204192234,0,
344,0,actor,10001,login,,,"{""sessionid"": ""2ec2d0d913f78438c1b394b024019eb2"", ""totaltime"": 0}",20260207131317,20260207131317,0,
345,0,actor,10001,Logout,,,"{""sessionid"": ""09e08109464473fe3223638d454d9bcd"", ""totaltime"": 10313}",20260207160510,20260207160510,0,
346,0,actor,10001,login,,,"{""sessionid"": ""5f2905e29f9a1d7e1a9ff7b43558720d"", ""totaltime"": 0}",20260208132829,20260208132829,0,
347,0,actor,10001,Logout,,,"{""sessionid"": ""7befcb70d6d35fe48ae2a828ec63bcdc"", ""totaltime"": 8465}",20260208154934,20260208154934,0,
